Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1638381584,1,,Aggregated,1.000000,0.000000,75,77,79,82,120,160,200,240,420,420,420,229,0,75,86.04004550218468,63.4747080000011,415.5198750000011,17.0
1638381585,1,,Aggregated,1.000000,0.000000,75,77,79,83,120,160,200,240,420,420,420,230,0,75,86.15764747826216,63.4747080000011,415.5198750000011,17.0
1638381586,1,,Aggregated,0.900000,0.000000,75,77,80,83,120,160,200,240,420,420,420,231,0,75,86.30682865800986,63.4747080000011,415.5198750000011,17.0
1638381587,1,,Aggregated,0.900000,0.000000,75,77,80,83,120,160,200,240,420,420,420,232,0,75,86.24621032327717,63.4747080000011,415.5198750000011,17.0
1638381588,1,,Aggregated,0.900000,0.000000,75,77,79,83,120,160,200,240,420,420,420,233,0,75,86.16684032188964,63.4747080000011,415.5198750000011,17.0
1638381589,1,,Aggregated,0.900000,0.000000,75,77,79,83,120,160,200,240,420,420,420,234,0,75,86.09865083333445,63.4747080000011,415.5198750000011,17.0
1638381590,1,,Aggregated,0.900000,0.000000,75,77,79,83,120,160,200,240,420,420,420,235,0,75,86.06393724680962,63.4747080000011,415.5198750000011,17.0
1638381591,1,,Aggregated,0.900000,0.000000,75,77,79,82,120,160,200,240,420,420,420,236,0,75,85.98277243220461,63.4747080000011,415.5198750000011,17.0
1638381592,1,,Aggregated,0.900000,0.000000,75,77,79,82,120,160,200,240,420,420,420,237,0,75,85.90212800000124,63.4747080000011,415.5198750000011,17.0
1638381593,1,,Aggregated,0.900000,0.000000,75,77,79,82,120,160,200,240,420,420,420,238,0,75,85.8444203529424,63.4747080000011,415.5198750000011,17.0
1638381594,1,,Aggregated,0.900000,0.000000,75,77,79,82,120,160,200,240,420,420,420,238,0,75,85.8444203529424,63.4747080000011,415.5198750000011,17.0
1638381595,1,,Aggregated,0.900000,0.000000,75,77,79,82,120,160,200,240,420,420,420,239,0,75,85.79529830125645,63.4747080000011,415.5198750000011,17.0
1638381596,1,,Aggregated,1.000000,0.000000,75,77,79,82,120,160,200,240,420,420,420,240,0,75,85.7729251833344,63.4747080000011,415.5198750000011,17.0
1638381597,1,,Aggregated,1.000000,0.000000,75,77,79,82,110,150,200,240,420,420,420,241,0,75,85.75006881742853,63.4747080000011,415.5198750000011,17.0
1638381598,1,,Aggregated,0.900000,0.000000,75,77,79,82,110,150,200,240,420,420,420,242,0,75,85.7075335826457,63.4747080000011,415.5198750000011,17.0
