@timestamp,@billedDuration,@duration
44565.96979,151,150.53
44565.96981,184,183.44
44565.96983,161,160.19
44565.96985,169,168.91
44565.96987,210,209.07
44565.96989,164,163.44
44565.9699,148,147.82
44565.96992,206,205.2
44565.96994,150,149.38
44565.96996,144,143.42
44565.96998,188,187.44
44565.97,192,191.67
44565.97002,148,147.5
44565.97004,231,230.74
44565.97005,185,184.06
44565.97007,158,157.64
44565.97009,169,168.03
44565.97011,150,149.67
44565.97013,176,175.15
44565.97015,188,187.7
44565.97017,166,165.75
44565.97019,165,164.04
44565.97021,237,236.59
44565.97022,171,170.56
44565.97024,147,146.45
44565.97026,163,162.85
44565.97028,147,146.72
44565.97029,150,149.23
44565.97031,147,146.87
44565.97033,163,162.25
44565.97035,152,151.04
44565.97037,147,146.07
44565.97038,150,149.72
44565.9704,146,145.29
44565.97042,171,170.95
44565.97044,166,165.86
44565.97046,155,154.64
44565.97048,209,208.73
44565.9705,163,162.63
44565.97052,205,204.12
44565.97053,171,170.2
44565.97055,205,204.89
44565.97057,151,150.57
44565.97059,149,148.43
44565.97061,166,165.99
44565.97063,148,147.98
44565.97065,222,221.9
44565.97067,163,162.34
44565.97068,188,187.03
44565.9707,164,163.2
44565.97072,167,166.51
44565.97074,152,151
44565.97076,160,159.21
44565.97078,147,146.96
44565.9708,161,160.25
44565.97082,184,183.45
44565.97083,203,202.01
44565.97085,205,204.63
44565.97087,163,162.59
44565.97089,147,146.57
44565.97091,175,174.85
44565.97093,168,167.28
44565.97094,202,201.02
44565.97096,196,195.68
44565.97098,149,148.14
44565.97101,184,184
44565.97103,204,203.76
44565.97105,227,226.83
44565.97107,153,152.5
44565.97109,164,163.71
44565.97111,164,163.94
44565.97112,158,157.53
44565.97114,224,223.35
44565.97116,164,163.14
44565.97118,150,149.8
44565.9712,158,157.02
44565.97122,188,187.97
44565.97125,150,149.77
44565.97127,155,154.36
44565.97128,188,187.95
44565.9713,201,200.14
44565.97132,162,161.75
44565.97134,190,189.17
44565.9714,166,165.55
44565.97141,184,183.84
44565.97143,162,161.72
44565.97145,180,179.22
44565.97147,171,170.52
44565.97149,196,195.65
44565.97151,145,144.65
44565.97153,165,164.43
44565.97155,154,153.03
44565.97156,155,154.18
44565.97158,146,145.73
44565.9716,147,146.63
44565.97162,151,150.58
44565.97164,150,149.7
44565.97165,162,161.95
44565.97167,162,161.54
44565.97169,147,146.13
44565.97171,193,192.48
44565.97176,163,162.3
44565.97178,200,199.68
44565.9718,158,157.38
44565.97182,206,205.25
44565.97184,152,151.68
44565.97186,188,187.63
44565.97188,160,159.3
44565.97189,161,160.72
44565.97191,205,204.71
44565.97193,184,183.24
44565.97195,146,145.22
44565.97197,149,148.82
44565.97199,221,220.91
44565.972,150,149.55
44565.97202,207,206.47
44565.97204,211,210.69
44565.97206,162,161.4
44565.97208,210,209.58
44565.9721,149,148.29
44565.97212,146,145.92
44565.97213,148,147.79
44565.97215,204,203.6
44565.9722,184,183.68
44565.97222,151,150.18
44565.97224,150,149.28
44565.97226,145,144.44
44565.97228,166,165.1
44565.97229,166,165.6
44565.97231,159,158.92
44565.97233,162,161.45
44565.97235,151,150.87
44565.97237,164,163.72
44565.97238,167,166.31
44565.9724,165,164.35
44565.97242,179,178.65
44565.97244,149,148.13
44565.97246,198,197.65
44565.97248,157,156.71
44565.97249,165,164.98
44565.97251,163,162.26
44565.97253,162,161.11
44565.97255,154,153.43
44565.97257,150,149.89
44565.97259,150,149.35
44565.97261,207,206.18
44565.97263,164,163.48
44565.97265,207,206.44
44565.97267,163,162.72
44565.97269,158,157.58
44565.97271,201,201
44565.97273,203,202.05
44565.97275,150,149.68
44565.97277,188,187.64
44565.97278,160,159.35
44565.9728,144,143.48
44565.97282,147,146.94
44565.97284,160,159.67
44565.97286,165,164.73
44565.97288,201,200.02
44565.97292,154,153.14
44565.97294,149,148.07
44565.97296,163,162.39
44565.97298,158,157.49
44565.973,228,227.62
44565.97301,170,169.74
44565.97303,149,148.37
44565.97305,167,166.74
44565.97307,165,164.17
44565.97309,187,186.54
44565.9731,148,147.02
44565.97312,370,369.81
44565.97314,278,277.55
44565.97316,203,202.57
44565.97318,152,151.41
44565.9732,202,201.4
44565.97322,158,157.45
44565.97323,190,189.19
44565.97325,162,161.64
44565.97327,148,147.78
44565.97329,201,200.69
44565.97331,148,147.72
44565.97334,231,230.33
44565.97335,206,205.59
44565.97337,169,168.74
44565.97339,161,160.24
44565.97341,147,146.22
44565.97343,165,164.14
44565.97345,184,183.39
44565.97347,163,162.77
44565.97349,151,150.21
44565.97351,146,145.46
44565.97353,158,157.11
44565.97355,163,162.86
44565.97357,147,146.59
44565.97359,150,149.83
44565.97361,197,196.62
44565.97362,159,158.68
44565.97364,163,162.9
44565.97366,164,163.69
44565.97368,205,204.8
44565.9737,147,146.95
44565.97372,166,165.16
44565.97373,206,205.98
44565.97375,200,199.66
44565.97377,164,163.7
44565.97379,150,149.2
44565.97381,184,183.36
44565.97385,188,187.84
44565.97388,249,248.28
44565.97389,167,166.42
44565.97391,206,205.15
44565.97393,193,192.56
44565.97395,194,193.89
44565.97397,199,198.59
44565.974,187,186.2
44565.97402,146,145.81
44565.97404,155,154.19
44565.97406,166,165.31
44565.97407,148,147.03
44565.97409,201,200.25
44565.97411,309,308.97
44565.97413,163,162.19
44565.97415,157,156.58
44565.97417,150,149.78
44565.97419,161,160.51
44565.97421,156,155.72
44565.97422,150,149.38
44565.97424,148,147.07
44565.97426,162,161.1
44565.97428,149,148.29
44565.9743,144,143.46
44565.97432,152,151.36
