@timestamp,@billedDuration,@duration,@initDuration
21:18.8,34,33.03,
21:20.5,25,24.64,
21:22.0,33,32.29,
21:23.5,51,50.55,
21:25.1,38,37.83,
21:26.6,29,28.7,
21:28.2,25,24.66,
21:29.8,31,30.35,
21:31.4,25,24.97,
21:33.0,29,28.89,
21:37.0,37,36.4,
21:38.6,45,44.91,
21:40.2,42,41.16,
21:42.0,32,31.19,
21:44.0,40,39.59,
21:45.5,29,28.66,
21:47.1,29,28.85,
21:49.0,26,25.37,
21:50.6,30,29.75,
21:52.2,43,42.28,
21:53.9,29,28.92,
21:55.5,54,53.82,
21:57.1,35,34.84,
21:58.7,21,20.62,
22:00.4,45,44.46,
22:01.9,33,32.33,
22:03.5,29,28.89,
22:05.1,43,42.27,
22:06.7,36,35.97,
22:08.2,31,30.17,
22:09.8,30,29.66,
22:11.4,29,28.65,
22:13.0,37,36.48,
22:14.7,46,45.17,
22:16.1,30,29.22,
22:20.2,30,29.07,
22:21.9,30,29.46,
22:23.6,29,28.86,
22:25.2,38,37.82,
22:26.8,44,43.81,
22:28.5,31,30.78,
22:30.1,33,32.86,
22:33.0,21,20.79,
22:34.6,17,16.91,
22:36.2,41,40.88,
22:37.7,39,38.94,
22:39.3,32,31.38,
22:40.8,32,31.39,
22:42.6,51,50.48,
22:44.2,17,16.67,
22:45.9,17,16.8,
22:47.5,29,28.93,
22:49.1,53,52.18,
22:50.6,30,29.01,
22:52.2,29,28.84,
