@timestamp,@billedDuration,@duration,@maxMemoryUsed,@in
2021-11-25 16:41:49.481,42,41.12,202000000,
2021-11-25 16:41:50.582,32,31.56,202000000,
2021-11-25 16:41:51.702,44,43.73,202000000,
2021-11-25 16:41:52.800,37,36.67,202000000,
2021-11-25 16:41:53.903,36,35.91,202000000,
2021-11-25 16:41:55.002,36,35.72,202000000,
2021-11-25 16:41:56.121,60,59.57,202000000,
2021-11-25 16:41:57.240,53,52.49,202000000,
2021-11-25 16:41:58.342,41,40.28,202000000,
2021-11-25 16:41:59.462,44,43.78,202000000,
2021-11-25 16:42:00.581,48,47.46,202000000,
2021-11-25 16:42:01.681,40,39.65,202000000,
2021-11-25 16:42:02.783,40,39.86,202000000,
2021-11-25 16:42:03.900,63,62.51,202000000,
2021-11-25 16:42:05.000,33,32.62,202000000,
2021-11-25 16:42:06.100,42,41.73,202000000,
2021-11-25 16:42:07.200,36,35.73,202000000,
2021-11-25 16:42:08.301,38,37.38,202000000,
2021-11-25 16:42:09.420,60,59.59,202000000,
2021-11-25 16:42:10.500,40,40,202000000,
2021-11-25 16:42:11.601,40,40,202000000,
2021-11-25 16:42:12.824,51,50.63,202000000,
2021-11-25 16:42:13.900,32,31.42,202000000,
2021-11-25 16:42:15.003,44,43.43,202000000,
2021-11-25 16:42:16.200,89,88.91,202000000,
2021-11-25 16:42:17.302,36,35.61,202000000,
2021-11-25 16:42:18.403,36,35.56,202000000,
2021-11-25 16:42:19.640,72,71.31,202000000,
2021-11-25 16:42:20.743,32,31.87,202000000,
2021-11-25 16:42:21.862,44,43.87,202000000,
2021-11-25 16:42:22.963,36,35.73,202000000,
2021-11-25 16:42:24.082,44,43.91,202000000,
2021-11-25 16:42:25.184,32,31.63,202000000,
2021-11-25 16:42:26.283,28,27.61,202000000,
2021-11-25 16:42:27.501,47,46.24,202000000,
2021-11-25 16:42:28.604,32,31.79,202000000,
2021-11-25 16:42:29.720,42,41.52,202000000,
2021-11-25 16:42:30.822,42,41.66,202000000,
2021-11-25 16:42:32.020,102,101.64,202000000,
2021-11-25 16:42:33.123,44,43.79,202000000,
2021-11-25 16:42:34.241,42,41.09,202000000,
2021-11-25 16:42:35.360,49,48.84,202000000,
2021-11-25 16:42:36.540,73,72.4,202000000,
2021-11-25 16:42:37.660,49,48.47,202000000,
2021-11-25 16:42:38.840,72,71.84,202000000,
2021-11-25 16:42:39.940,47,46.16,202000000,
2021-11-25 16:42:41.060,48,47.67,202000000,
2021-11-25 16:42:42.141,33,32.77,202000000,
2021-11-25 16:42:43.240,32,31.5,202000000,
2021-11-25 16:42:44.360,63,62.63,202000000,
2021-11-25 16:42:45.560,94,93.43,202000000,
2021-11-25 16:42:46.662,32,31.43,202000000,
2021-11-25 16:42:47.800,63,62.98,202000000,
2021-11-25 16:42:48.900,45,44.3,202000000,
2021-11-25 16:42:49.982,33,32.01,202000000,
2021-11-25 16:42:51.083,36,35.92,202000000,
2021-11-25 16:42:52.182,37,36.1,202000000,
2021-11-25 16:42:53.282,32,31.49,202000000,
2021-11-25 16:42:54.401,48,47.26,202000000,
2021-11-25 16:42:55.502,32,31.46,202000000,
2021-11-25 16:42:56.740,32,31.48,202000000,
2021-11-25 16:42:57.841,44,43.7,202000000,
2021-11-25 16:42:58.943,32,31.96,202000000,
2021-11-25 16:43:00.043,28,27.31,202000000,
2021-11-25 16:43:01.140,32,31.31,202000000,
2021-11-25 16:43:02.242,32,31.31,202000000,
2021-11-25 16:43:03.360,48,47.49,202000000,
2021-11-25 16:43:04.440,32,31.65,202000000,
2021-11-25 16:43:05.542,44,43.45,202000000,
2021-11-25 16:43:06.660,46,45.88,202000000,
2021-11-25 16:43:07.760,33,32,202000000,
2021-11-25 16:43:08.864,32,31.73,202000000,
2021-11-25 16:43:09.988,55,54.97,202000000,
2021-11-25 16:43:11.101,48,47.47,202000000,
2021-11-25 16:43:12.220,45,44.85,202000000,
2021-11-25 16:43:13.340,44,43.95,202000000,
2021-11-25 16:43:14.420,32,31.82,202000000,
2021-11-25 16:43:15.520,33,32.06,202000000,
2021-11-25 16:43:16.623,33,32.05,202000000,
2021-11-25 16:43:17.722,32,31.33,202000000,
2021-11-25 16:43:18.824,32,31.21,202000000,
2021-11-25 16:43:19.924,32,31.34,202000000,
2021-11-25 16:43:21.040,40,39.79,202000000,
2021-11-25 16:43:22.123,34,33.81,202000000,
2021-11-25 16:43:23.222,44,43.71,202000000,
2021-11-25 16:43:24.322,36,35.81,202000000,
2021-11-25 16:43:25.440,44,43.8,202000000,
2021-11-25 16:43:26.560,56,55.18,202000000,
2021-11-25 16:43:27.643,40,39.78,202000000,
2021-11-25 16:43:28.742,32,31.21,202000000,
